Date,Group,Mouse (number of tail stripes),Dimensions on left (mm x mm x mm),Dimensions on right (mm x mm x mm)
3/27/24,CD4,5,7.7 x 5.0 x 3.8,6.3 x 5.1 x 4.3
3/27/24,dC1,1,0 x 0 x 0,0 x 0 x 0
3/27/24,dC1,2,0 x 0 x 0,0 x 0 x 0
3/27/24,dC1,3,0 x 0 x 0,0 x 0 x 0
3/27/24,dC1,4,0 x 0 x 0,0 x 0 x 0
3/27/24,dC1,5,0 x 0 x 0,0 x 0 x 0
4/1/24,EV,1,0 x 0 x 0,0 x 0 x 0
4/1/24,EV,2,0 x 0 x 0,0 x 0 x 0
4/1/24,EV,3,0 x 0 x 0,0 x 0 x 0
4/1/24,EV,4,0 x 0 x 0,0 x 0 x 0
4/1/24,EV,5,0 x 0 x 0,0 x 0 x 0
4/1/24,CD4,1,NA,NA
4/1/24,CD4,2,NA,NA
4/1/24,CD4,3,NA,NA
4/1/24,CD4,4,NA,NA
4/1/24,CD4,5,NA,NA
4/1/24,dC1,1,0 x 0 x 0,0 x 0 x 0
4/1/24,dC1,2,0 x 0 x 0,0 x 0 x 0
4/1/24,dC1,3,0 x 0 x 0,0 x 0 x 0
4/1/24,dC1,4,0 x 0 x 0,0 x 0 x 0
4/1/24,dC1,5,0 x 0 x 0,0 x 0 x 0
4/3/24,EV,1,3.12 x 2.00 x 1.99,0 x 0 x 0
4/3/24,EV,2,0 x 0 x 0,2.99 x 2.45 x 2.18
4/3/24,EV,3,0 x 0 x 0,0 x 0 x 0
4/3/24,EV,4,0 x 0 x 0,0 x 0 x 0
4/3/24,EV,5,0 x 0 x 0,0 x 0 x 0
4/3/24,CD4,1,NA,NA
4/3/24,CD4,2,NA,NA
4/3/24,CD4,3,NA,NA
4/3/24,CD4,4,NA,NA
4/3/24,CD4,5,NA,NA
4/3/24,dC1,1,0 x 0 x 0,0 x 0 x 0
4/3/24,dC1,2,0 x 0 x 0,0 x 0 x 0
4/3/24,dC1,3,0 x 0 x 0,0 x 0 x 0
4/3/24,dC1,4,0 x 0 x 0,0 x 0 x 0
4/3/24,dC1,5,0 x 0 x 0,0 x 0 x 0
4/5/24,EV,1,4.34 x 1.59 x 1.60,0 x 0 x 0
4/5/24,EV,2,0 x 0 x 0,3.57 x 2.28 x 1.66
4/5/24,EV,3,0 x 0 x 0,0 x 0 x 0
4/5/24,EV,4,0 x 0 x 0,0 x 0 x 0
4/5/24,EV,5,0 x 0 x 0,0 x 0 x 0
4/5/24,CD4,1,NA,NA
4/5/24,CD4,2,NA,NA
4/5/24,CD4,3,NA,NA
4/5/24,CD4,4,NA,NA
4/5/24,CD4,5,NA,NA
4/5/24,dC1,1,0 x 0 x 0,0 x 0 x 0
4/5/24,dC1,2,0 x 0 x 0,0 x 0 x 0
4/5/24,dC1,3,0 x 0 x 0,0 x 0 x 0
4/5/24,dC1,4,0 x 0 x 0,0 x 0 x 0
4/5/24,dC1,5,0 x 0 x 0,0 x 0 x 0
4/8/24,EV,1,6.73 x 2.42 x 1.91,0 x 0 x 0
4/8/24,EV,2,0 x 0 x 0,2.19 x 3.32 x 1.94
4/8/24,EV,3,3.01 x 3.01 x 2.37,0 x 0 x 0
4/8/24,EV,4,0 x 0 x 0,0 x 0 x 0
4/8/24,EV,5,0 x 0 x 0,0 x 0 x 0
4/8/24,CD4,1,NA,NA
4/8/24,CD4,2,NA,NA
4/8/24,CD4,3,NA,NA
4/8/24,CD4,4,NA,NA
4/8/24,CD4,5,NA,NA
4/8/24,dC1,1,0 x 0 x 0,0 x 0 x 0
4/8/24,dC1,2,0 x 0 x 0,0 x 0 x 0
4/8/24,dC1,3,0 x 0 x 0,0 x 0 x 0
4/8/24,dC1,4,0 x 0 x 0,0 x 0 x 0
4/8/24,dC1,5,0 x 0 x 0,0 x 0 x 0
4/10/24,EV,1,6.92 x 2.72 x 1.37,0 x 0 x 0
4/10/24,EV,2,0 x 0 x 0,2.86 x 3.96 x 2.33
4/10/24,EV,3,3.11 x 2.71 x 2.27,3.14 x 2.89 x 2.76
4/10/24,EV,4,0 x 0 x 0,2.97 x 2.45 x 2.16
4/10/24,EV,5,0 x 0 x 0,0 x 0 x 0
4/10/24,CD4,1,NA,NA
4/10/24,CD4,2,NA,NA
4/10/24,CD4,3,NA,NA
4/10/24,CD4,4,NA,NA
4/10/24,CD4,5,NA,NA
4/10/24,dC1,1,0 x 0 x 0,0 x 0 x 0
4/10/24,dC1,2,2.54 x 1.89 x 2.43,0 x 0 x 0
4/10/24,dC1,3,0 x 0 x 0,0 x 0 x 0
4/10/24,dC1,4,0 x 0 x 0,0 x 0 x 0
4/10/24,dC1,5,0 x 0 x 0,0 x 0 x 0
